0;0;0;0;land;false;unknown;0
1;207;227;209;land;true;desert;1
2;46;213;254;land;false;desert;1
3;230;205;203;land;false;hills;1
4;141;171;238;land;false;plains;1
5;156;236;126;land;false;desert;1
6;229;188;167;land;false;desert;1
7;57;231;243;land;false;hills;1
8;176;218;178;land;false;desert;1
9;54;250;215;land;false;mountain;1
10;207;188;223;land;false;desert;1
11;223;60;254;land;false;hills;1
12;244;112;164;land;false;mountain;1
13;191;168;151;land;false;desert;1
14;246;190;110;land;false;desert;1
15;119;193;206;land;false;plains;1
16;130;191;238;land;false;desert;1
17;190;208;135;land;false;marsh;1
18;185;157;208;land;true;mountain;1
19;205;101;245;land;false;mountain;1
20;138;236;202;land;true;plains;1
21;198;236;101;land;false;hills;1
22;37;218;253;land;false;hills;1
23;180;219;166;land;true;hills;1
24;90;248;203;land;false;hills;1
25;136;239;151;land;false;hills;1
26;115;254;165;land;false;plains;1
27;230;141;244;land;false;desert;1
28;207;129;249;land;false;desert;1
29;251;110;254;land;false;marsh;1
30;228;185;251;land;false;jungle;1
31;211;196;103;land;false;desert;1
32;199;242;244;land;false;desert;1
33;68;251;226;land;false;hills;1
34;202;237;213;land;false;jungle;1
35;239;100;223;land;false;desert;1
36;194;199;168;land;false;desert;1
37;245;201;70;land;false;desert;1
38;253;158;249;land;false;mountain;1
39;221;146;182;land;false;desert;1
40;167;205;241;land;true;plains;1
41;173;229;190;land;false;desert;1
42;148;210;228;land;false;plains;1
43;246;194;158;land;false;hills;1
44;165;248;209;land;false;desert;1
45;238;155;209;land;false;plains;1
46;219;226;190;land;true;plains;1
47;139;184;207;land;false;desert;1
48;244;243;105;land;false;hills;1
49;148;222;240;land;false;desert;1
50;176;219;107;land;false;plains;1
51;244;179;203;land;false;desert;1
52;224;223;154;land;false;hills;1
53;220;229;163;land;false;mountain;1
54;204;190;252;land;false;hills;1
55;222;208;120;land;false;desert;1
56;178;229;158;land;false;plains;1
57;243;254;93;land;false;hills;1
58;240;222;195;land;false;hills;1
59;101;228;225;land;false;mountain;1
60;167;202;250;land;false;hills;1
61;205;231;106;land;true;hills;1
62;210;247;231;land;true;hills;1
63;244;85;218;land;false;hills;1
64;246;218;80;land;false;jungle;1
65;220;128;214;land;false;hills;1
66;221;203;212;land;false;desert;1
67;203;92;227;land;true;plains;1
68;232;139;176;land;false;plains;1
69;194;225;232;land;false;marsh;1
70;240;231;78;land;false;hills;1
71;244;240;168;land;false;hills;1
72;249;118;177;land;false;desert;1
73;214;142;187;land;false;hills;1
74;186;219;240;land;false;hills;1
75;168;136;203;land;false;desert;1
76;195;164;165;land;false;marsh;1
77;86;232;232;land;false;plains;1
78;159;137;217;land;false;desert;1
79;193;135;233;land;false;plains;1
80;250;248;183;land;false;desert;1
81;214;209;102;land;false;hills;1
82;221;131;180;land;false;hills;1
83;228;46;240;land;false;hills;1
84;138;242;179;land;false;hills;1
85;209;194;204;land;false;hills;1
86;85;215;238;land;false;hills;1
87;195;174;184;land;false;hills;1
88;233;237;177;land;false;desert;1
89;182;219;213;land;false;desert;1
90;95;181;233;land;false;mountain;1
91;206;187;195;land;false;desert;1
92;237;212;124;land;false;hills;1
93;115;189;230;land;false;hills;1
94;252;71;239;land;false;plains;1
95;188;200;120;land;false;desert;1
96;245;131;193;land;false;hills;1
97;236;176;105;land;false;hills;1
98;245;226;153;land;false;hills;1
99;230;158;179;land;false;plains;1
100;131;218;216;land;false;jungle;1
101;205;206;224;land;false;hills;1
102;225;179;187;land;false;mountain;1
103;169;239;151;land;false;hills;1
104;208;142;222;land;false;mountain;1
105;139;237;143;land;false;desert;1
106;160;235;216;land;false;desert;1
107;163;254;185;land;false;hills;1
108;213;130;229;land;false;hills;1
109;145;208;150;land;false;desert;1
110;185;187;202;land;false;desert;1
111;195;159;161;land;false;plains;1
112;211;180;178;land;false;jungle;1
113;161;245;124;land;false;jungle;1
114;242;204;161;land;false;hills;1
115;222;138;148;land;false;desert;1
116;211;248;100;land;false;desert;1
117;135;181;188;land;false;desert;1
118;144;212;149;land;false;hills;1
119;162;198;175;land;true;plains;1
120;199;217;143;land;false;hills;1
121;242;253;87;land;false;hills;1
122;231;47;248;land;false;mountain;1
123;196;234;73;land;false;hills;1
124;188;249;80;land;false;mountain;1
125;239;122;140;land;false;hills;1
126;69;202;240;land;false;jungle;1
127;181;160;200;land;false;marsh;1
128;155;220;209;land;false;plains;1
129;158;216;159;land;false;desert;1
130;242;187;123;land;false;mountain;1
131;163;127;244;land;false;hills;1
132;167;203;235;land;false;plains;1
133;246;123;158;land;true;plains;1
134;102;249;200;land;false;desert;1
135;163;243;230;land;true;plains;1
136;243;137;128;land;false;forest;1
137;132;223;246;land;false;desert;1
138;224;105;228;land;true;plains;1
139;225;234;95;land;false;hills;1
140;254;138;202;land;false;desert;1
141;252;117;154;land;false;mountain;1
142;77;191;249;land;true;jungle;1
143;160;191;207;land;false;desert;1
144;219;140;150;land;false;desert;1
145;250;236;204;land;false;desert;1
146;229;105;194;land;false;desert;1
147;196;118;253;land;false;marsh;1
148;172;246;134;land;false;jungle;1
149;166;105;232;land;false;desert;1
150;160;193;187;land;false;desert;1
151;92;194;240;land;false;hills;1
